Municipio;Bairro;M+B;Lat;Long
VITORIA;REDENÇÃO;REDENÇÃO - VITORIA - ES - Brasil;;
VITORIA;SANTA CECÍLIA;SANTA CECÍLIA - VITORIA - ES - Brasil;;
VITORIA;PRAIA DO SUÁ;PRAIA DO SUÁ - VITORIA - ES - Brasil;;
NILOPOLIS;NULL;NULL - NILOPOLIS - ES - Brasil;;
CONCEICAO DE MACABU;NULL;NULL - CONCEICAO DE MACABU - ES - Brasil;;
VITORIA;SANTA MARTHA;SANTA MARTHA - VITORIA - ES - Brasil;;
VOLTA REDONDA;NULL;NULL - VOLTA REDONDA - ES - Brasil;;
SERRA;COSTA DOURADA;COSTA DOURADA - SERRA - ES - Brasil;;
SERRA;RESIDENCIAL JACARAÍPE;RESIDENCIAL JACARAÍPE - SERRA - ES - Brasil;;
VILA VELHA;SÃO CONRADO;SÃO CONRADO - VILA VELHA - ES - Brasil;;
SERRA;SERRA DOURADA III;SERRA DOURADA III - SERRA - ES - Brasil;;
VILA VELHA;SOTECO;SOTECO - VILA VELHA - ES - Brasil;;
VILA VELHA;NOVA ITAPARICA;NOVA ITAPARICA - VILA VELHA - ES - Brasil;;
VILA VELHA;CENTRO;CENTRO - VILA VELHA - ES - Brasil;;
VILA VELHA;JARDIM GUADALAJARA;JARDIM GUADALAJARA - VILA VELHA - ES - Brasil;;
VILA VELHA;NOVO MÉXICO;NOVO MÉXICO - VILA VELHA - ES - Brasil;;
VILA VELHA;PRAIA DAS GAIVOTAS;PRAIA DAS GAIVOTAS - VILA VELHA - ES - Brasil;;
VILA VELHA;NOSSA SENHORA DA PENHA;NOSSA SENHORA DA PENHA - VILA VELHA - ES - Brasil;;
VILA VELHA;BARRAMARES;BARRAMARES - VILA VELHA - ES - Brasil;;
VILA VELHA;VILA NOVA;VILA NOVA - VILA VELHA - ES - Brasil;;
VILA VELHA;IBES;IBES - VILA VELHA - ES - Brasil;;
VILA VELHA;JARDIM ASTECA;JARDIM ASTECA - VILA VELHA - ES - Brasil;;
VILA VELHA;DOM JOÃO BATISTA;DOM JOÃO BATISTA - VILA VELHA - ES - Brasil;;
VILA VELHA;JARDIM COLORADO;JARDIM COLORADO - VILA VELHA - ES - Brasil;;
VILA VELHA;GUARANHUNS;GUARANHUNS - VILA VELHA - ES - Brasil;;
VITORIA;TABUAZEIRO;TABUAZEIRO - VITORIA - ES - Brasil;;
VITORIA;SÃO PEDRO;SÃO PEDRO - VITORIA - ES - Brasil;;
VITORIA;BENTO FERREIRA;BENTO FERREIRA - VITORIA - ES - Brasil;;
VITORIA;ANDORINHAS;ANDORINHAS - VITORIA - ES - Brasil;;
VITORIA;CENTRO;CENTRO - VITORIA - ES - Brasil;;
VITORIA;SÃO CRISTÓVÃO;SÃO CRISTÓVÃO - VITORIA - ES - Brasil;;
VILA VELHA;VILA GARRIDO;VILA GARRIDO - VILA VELHA - ES - Brasil;;
VILA VELHA;BOA VISTA I;BOA VISTA I - VILA VELHA - ES - Brasil;;
GUAPIMIRIM;NULL;NULL - GUAPIMIRIM - ES - Brasil;;
NITEROI;SOLON BORGES;SOLON BORGES - NITEROI - ES - Brasil;;
BOM JESUS DO ITABAPOANA;NULL;NULL - BOM JESUS DO ITABAPOANA - ES - Brasil;;
CABO FRIO;NULL;NULL - CABO FRIO - ES - Brasil;;
QUEIMADOS;NULL;NULL - QUEIMADOS - ES - Brasil;;
SERRA;CONJUNTO JACARAÍPE;CONJUNTO JACARAÍPE - SERRA - ES - Brasil;;
VITORIA;SANTA LUÍZA;SANTA LUÍZA - VITORIA - ES - Brasil;;
JOAO NEIVA;BAIRRO DE FÁTIMA;BAIRRO DE FÁTIMA - JOAO NEIVA - ES - Brasil;;
CARIACICA;NOVA ESPERANÇA;NOVA ESPERANÇA - CARIACICA - ES - Brasil;;
SERRA;MANOEL PLAZA;MANOEL PLAZA - SERRA - ES - Brasil;;
SERRA;PORTO CANOA;PORTO CANOA - SERRA - ES - Brasil;;
SERRA;SÃO DOMINGOS;SÃO DOMINGOS - SERRA - ES - Brasil;;
SAO JOSE DO CALCADO;ALTO CALÇADO;ALTO CALÇADO - SAO JOSE DO CALCADO - ES - Brasil;;
CARIACICA;RIO MARINHO;RIO MARINHO - CARIACICA - ES - Brasil;;
CARIACICA;FORMATE;FORMATE - CARIACICA - ES - Brasil;;
CARIACICA;SÃO FRANCISCO;SÃO FRANCISCO - CARIACICA - ES - Brasil;;
BREJETUBA;CÓRREGO DA PASSAGEM ;CÓRREGO DA PASSAGEM  - BREJETUBA - ES - Brasil;;
ANCHIETA;PORTO DE CIMA;PORTO DE CIMA - ANCHIETA - ES - Brasil;;
CARIACICA;SÃO GERALDO II;SÃO GERALDO II - CARIACICA - ES - Brasil;;
GUARAPARI;ITAPEBUSSU;ITAPEBUSSU - GUARAPARI - ES - Brasil;;
VITORIA;ITARARÉ;ITARARÉ - VITORIA - ES - Brasil;;
VITORIA;DA PENHA;DA PENHA - VITORIA - ES - Brasil;;
